subject_id	solver	p1_accuracy	p2_accuracy	gender	age	education	num_math	m_alg	m_geom	q_strategy	qrating_score
68	Persistent Solver	0.84	0.984375	Female	34	16	8	TRUE	TRUE	First, since I noticed that two numbers were always given as clues, I would figure out which two numbers I'd be seeing fit. Then I'd look at each empty box on the blue line, starting left and going right (or up to down for vertical blue lines). For each box, I'd determine which number couldn't go there. If a number COULD go there, I knew that that wasn't the right answer and that the other number was the answer.	2
69	Persistent Solver	0.8	1	Male	32	14	1	TRUE	FALSE	Looked at the blue line. See 1 in middle right box keeping it safe. Only 1 spot in middle box. 2 spots in middle left box are blocked by 1s coming from upper left and bottom left, therefore I rule that middle box is a 1.	2
70	Persistent Solver	0.8	0.875	Male	41	14	2	TRUE	TRUE	I went through the """"hint"""" numbers in blue and did process of elimination in my head.	0
71	Persistent Solver	0.8	0.90625	Female	54	14	4	TRUE	TRUE	The last 3 squares cant be a 1 or 9 because they already exist in the square of 9. the 4th square cant be a 1 or 9 because they are already in that column.  The 3rd square has to be a 9 because there is already a 1 in that column, so the green square needs to be a 1.	2
72	Persistent Solver	0.76	0.90625	Male	33	16	6	TRUE	TRUE	I need a 1 or a 3.  the box to the mid left had a 1 and 3 in it already so i ruled out those 3 blue squares.  the box on the right middle only had 1 square but the column already had a 1 and 3.  so that means the 1 and the 3 have to be in the center box.  since the top mid box had a 3 in the first column, i knew the 1 had to be in that column, and the 3 in the one to the right of it.	2
73	Persistent Solver	0.72	0.96875	Female	26	14	5	TRUE	TRUE	As a beginner to Sudoku, it was tempting to start solving the puzzle by looking at the bright-colored green box, first. However, over time, I realized that I could win faster by just looking at the other boxes first. Therefore, I began the puzzle by first ignoring the bright-colored green box. First, I decided to start with the blue box on the far left. I asked myself - """"Can the number 9 go in this box?"""" The answer was automatically """"no,"""" because there was already a number 9 in the row/column/box. Then, I asked myself the same question, for the following blue boxes. And if the answer was """"no"""" for each of the empty blue boxes, then I automatically knew that the only place left for the number 9, was the bright green box. This method was quicker for me, because I didn't even have to pay attention to the other number. However, if the answer to the question """"Can a nine fit in this blue box?"""" had ever been """"Yes,"""" then I would have come to the conclusion that 9 was not the answer.	2
74	Persistent Solver	0.84	0.90625	Male	39	16	7	TRUE	TRUE	The first thing I did was locate the square section that contains both of the possible numbers and the three empty blue squares. After locating this section, I can completely ignore this area since it is irrelevant to finding the answer now. Next I look for either of the two possible numbers (in this case 2 or 3) which is isolated, in a row or column all by itself. Upon finding that number, I'm finished. Just take that number, and since you know that its counterpart will be filled in in the blue row, you can just take the isolated number and make it your answer.	2
75	Persistent Solver	0.84	0.890625	Female	30	16	4	TRUE	TRUE	I looked at the provided numbers outside the blue highlighted row. I figured it had to be either a 2 or a 3 in the green box. Then saw it was possible for 2 to go in 2 places on the row, but the green area was the only place possible for 3.	2
76	Persistent Solver	0.8	0.828125	Male	23	16	8	TRUE	TRUE	At this point in the experiment I have already found the patterns that indicate whether the answer might be right or wrong. There's comes a time when you automate the process of solving the puzzle. I usually ignore the portion of the puzzle that contains the relevant numbers. I then look at the spaces on the highlighted in blue row and start eliminating the possibilities. It is true that the answer is usually the number that's by itself in a given row.	1
77	Persistent Solver	0.8	0.96875	Male	20	16	5	TRUE	TRUE	I find that process of elimination works best for these isolated problems at least. I started on the left and saw that there was a two and a seven in the 3x3 box on the middle left. I knew it was going to be one of those based off of the numbers already in the row. I finished up by looking to the right side and saw that 7 couldn't be placed in either square so it had to be that.	2
78	Persistent Solver	0.76	0.859375	Female	31	12	4	TRUE	TRUE	I knew the answer had to be a 6 or 8. I first looked at the empty squares in the highlighted blue column. Then, I looked at the top three squares in that column. Since there's a 6 and 8 in that 3x3 area, I knew I couldn't check those top 3 squares for a 6 or 8. Since the next 3 squares all had numbers, I focused on the bottom 3. There were 2 empty squares. I noticed that there was a 6 in the row of the first square. That meant that that square would have to be an 8 since you can't have two of the same number in the same row.	2
79	Persistent Solver	0.72	0.96875	Female	31	18	2	TRUE	TRUE	1) Numbers that appear the most are 5 and 3, so I have to put either number 5 or 3 on the square with green color<><>2) Since each large square contains the number 1-9, I looked for the square that already have the number 3 and 5 and eliminate that large square (which is located at the first column of large squares)<><>3) The number 5 and 3 possibly located at the second or third column<><>4) I look at the third large square column and it's impossible because the only blank space has 5 and 3 and in a small column there can only be each one 5 and one 3. so the third large column is eliminated<><>5) The only possible location now for 5 and 3 is the second large column.<><>6) in the second large column, the first small column already have number 3 on it, so we can only put number 5 on the blue square<><>7) So the answer for the green square is 3	2
80	Persistent Solver	0.72	0.859375	Female	41	14	2	TRUE	TRUE	I started at the top right box and could see that it was a 1, and so the blue box to it's left would be a 4. <><>I then noted that the rest of the columns/boxes already had their 1 or 4 spots taken.<><>I used deduction, as best as I can tell.	2
82	Persistent Solver	0.8	0.84375	Female	31	12	1	TRUE	FALSE	I started at the top of the blue row, then looked to see if i could place either a 8 or a 6. Moved down till i determend which one could go where then placed in the Number.	0
84	Persistent Solver	0.72	0.953125	Male	45	12	2	TRUE	TRUE	I first looked for the 9 square box with the two digits and eliminated that. I then looked at each remaining row to deduce what was left. The one row with the 8 meant the 3 went there, so the solution for the green box must be 8.	2
85	Persistent Solver	0.72	0.9375	Female	35	16	7	TRUE	TRUE	bottom center column with a 7 and 1 in the same row: answers cannot go in bottom blue squares. """"neither.""""<><>second row from the top with a 1 and a 7: cannot answer there either.<><>remaining spots are top blue square, and green square.<>a 1 has to go in the top blue square.<>a 7 has to go in the green square.	2
86	Persistent Solver	0.64	0.890625	Female	40	16	4	TRUE	TRUE	Sudoko has a set of rules: numbers do not repeat either in 3x3, columns, or rows:<>First section with blue cells the blue 9 and 3 are already present so the blues cell with not contain those number (9 or 3)<>Second section contain blue cells and green: 1st blue cell you must look at the column 9 & 3 are in the column so neither a 9 or 3 can be place in that blue cell <>look at cell with 8 look cat the column there is 3 <>so the green cell has two possibility 9 or 3 <>look at the last section of blues cells:  find the blue cell without numbers  look at its column it has a 9 so the only possibility in that space a 3 <>making the green cell a 9 <>because number do not repeat themself either in 3x3, rows or columns<>	2
88	Persistent Solver	0.76	0.953125	Female	55	18	3	TRUE	TRUE	1.  I looked at the bottom square and noticed it was filled out.  It did not give me information about solving for 2 or 7 so I moved to the top square.  2.  Top square said I could not use a 2 or 7 (already in the box).  3.  Moved to the middle square.  7 was already in a row, so it could be 2.  Thus, I chose 7.  To be honest, I hate this game.  I'm old and and never play games (not that old, plenty of people my age play games.  But I never do.  Anyway, that is my strategy and it worked.  So, I kept it up throughout the game.	2
94	PD Guesser	0.68	0.5625	Female	31	12	1	FALSE	FALSE	i choose  randomly .	0
98	PD Guesser	0.72	0.578125	Female	47	16	3	TRUE	TRUE	I looked at the columns that contain both a 6 and a 9 and determined which blocks could not contain a 6 nor a 9. I eliminated the blocks in the row with the green square as possibilities then looked at the columns that contained a 6 or a 9. I chose 6 because I felt the column containing only a 6 would use 9 in that space because of the placement of 9 in the rows.	2
104	PD Guesser	0.68	0.515625	Female	36	16	3	TRUE	TRUE	I looked at all the possibilty where an 8 could be in the other possible choices and whether or not there was an 8 or 3 in those spaces and felt this was the only logical solution.	0
106	PD Guesser	0.68	0.5	Female	43	12	2	TRUE	TRUE	I tried to look at each of the other squares to get the number but not sure I figured out how to do this. I tried to eliminate other cells that already had that number in the row.	0
107	PD Guesser	0.68	0.515625	Female	32	16	5	TRUE	TRUE	I knew it had to be one of the other numbers and I knew it couldn't be 5, 8, or 6 and the one next to it couldn't be 4.	0
108	PD Guesser	0.6	0.53125	Male	40	16	2	TRUE	TRUE	I went through a process of elimination by checking which numbers were already included in each square, since you can't duplicate numbers. <><>But to be honest, I'm not sure if the 1 should go in the 1st, 3rd, or 4th blue box, Or if the 4 is in the 2nd, 3rd, or 4th. Sadly, these puzzles have made me feel not very bright!	0
110	PD Guesser	0.72	0.515625	Female	53	14	1	TRUE	FALSE	I looked at the possible positions of the other numbers and choose the number hat made sense	0
111	PD Guesser	0.56	0.515625	Female	42	16	6	TRUE	TRUE	I scanned each of the boxes along the highlighted column, trying to fit in a 2 or a 3 in each. I used a process of elimination so that I chose ONLY the number that HAD to go in the green box.	1
115	PD Guesser	0.68	0.53125	Female	56	16	3	TRUE	TRUE	Looked at the 1 in the box to the left and thought the blue box would be a 6 so green box  1	1
119	PD Guesser	0.56	0.4375	Male	35	14	1	FALSE	FALSE	yes	0
121	PD Guesser	0.6	0.4375	Male	45	16	1	FALSE	FALSE	I tried to narrow down the possible option for the 4 and 5 to be used in.	0
