Subject ID	sid_hash	Response	PD AN	PD JM	Basis AN	Basis JM	Notes AN	Notes JM
17	1af36d	I assessed the key numbers (5 and 4) and checked where they both fall, then separated the lines where they are both aligned then used the remaining boxes and placed them in.	Both	Both	A. Chose digit that cannot go elsewhere	H. Unclear, confused or missing basis	Really poorly written, but it seems like they're describing the shortcut variant. "Where they both fall" is probably referring to the box constraint. "lines where they are both aligned" probably refers to the column with both the target and distractor. "The remaining boxes", I'm guessing, refers to the column with only one number in it, which is the target.	
18	e41709	The answer had to be 7. 4 and 7 negate 4 or 7 being the answer to any of blue squares in the middle box on the right. 4 & 7 appear together in the third column from the left so it couldn't be either of those. 7 appears in the only column that doesn't have a number in the blue box, so that box could be a 4. Hence the answer has to be 7.	Both	Both	C. Found cell where one PD could go and the other could not	B. One PD can go elsewhere, chose the other	Kind of split between B and C here. "so that box could be a 4" makes it sound like B, but "7 appears" makes it sound like C.	one but not the other a reasonable second choice here
19	654deb	first 3x3 cannot be 5 or 75th blue block in must be 7. 5 is only remaining number	Both	Both	B. One PD can go elsewhere, chose the other	B. One PD can go elsewhere, chose the other	Doesn't really explain why 5th cell must be 7.	Not totally clear but of a, b, and c this is what this answer points to
20	976a3e	Using the left square (9 +1 + 10) Then for the middle square used the 3 for a 7 + 3 = 10	Neither	Target	F. Irrelevant basis for choice	F. Irrelevant basis for choice		
21	c87080	I basically scanned over each grid, and then canceled out the 5's first, and then determined it would have to be a 3.	Both	Both	D. Potentially valid but general or not fully specified	H. Unclear, confused or missing basis	Looks like process of elimination, but doesn't explain why answer was chosen.	
22	fd56d9	I see what two numbers are the most on the board. From there I see how many places one of the numbers can fit on the blue line. If it can fit in 2 different places than that means I must add the other number to the green box.	Both	Both	B. One PD can go elsewhere, chose the other	B. One PD can go elsewhere, chose the other		
23	c30fcd	good task	Neither	Neither	I. Did not answer the question	I. Did not answer the question		
24	7be1e0	I looked at rows / sections I could rule out b/c they contained both numbers. Then I looked at which blocks could have one of the numbers. Finally, I put in the remaining number.	Both	Both	B. One PD can go elsewhere, chose the other	D. Potentially valid but general or not fully specified		I chose both for pd because they mentioned 'both numbers'.  Borderline for me between D and H
25	04163c	My strategy was very simple I focused o the numbers """"7 & 4"""" After that I choose the number which I think has more chances to be in the blue box.	Both	Both	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		
26	bc967f	I knew it had to be one of the other numbers and I knew it couldn't be 5, 8, or 6 and the one next to it couldn't be 4.	Distractor	Distractor	H. Unclear, confused or missing basis	B. One PD can go elsewhere, chose the other	*** Backwards. If they said "couldn't be 7" or "could be 4", this would be correct.	
27	2a326c	It really is a guess.	Neither	Neither	E. Explicit guess	E. Explicit guess		
28	2583d8	I took the 1s away from te blue box then did the same for the 8s and then tried to figure which possibility the 1 or 8 went.	Both	Both	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		
29	4e726b	i looked at the numbers around the one i currently placed.	Neither	Neither	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		
30	7f6076	in that row and column ,there was not a similar number to the 1 i chose.	Neither	Neither	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		Sounds like an ADC strategy but with implicit restriction to the two pd's
31	c81753	I started with the far left 3 blue squares and determined none of those could be a 3 or 9 bc they already below to a 3x3 square that contains those numbers. I then moved on to the columns on the left side of the screen. The first column contains a 3 and 9 so I moved to the next column with an open blue square. That column has a 9 in it so I know it has to be a 3.	Both	Both	C. Found cell where one PD could go and the other could not	H. Unclear, confused or missing basis	They mean far-right, referencing the box constraint.	I beiieve this is an example of an errorful and slightly incomplete description of a valid strategy.  Left in first line was intended to be 'right' (a mistake people often make. most of all me!).  The end of the description is misleading but I think this really reflects strategy B.  Nevertheless, the lack of clarity requires me to choose H.
32	406960	I looked at each blue box and checked to see if an 8 could be used anywhere else besides that box. If none could I knew that would be my answer. I randomly chose to start with the 8, if that one didn't work I would have moved on to another number.	Target	Target	A. Chose digit that cannot go elsewhere	A. Chose digit that cannot go elsewhere		Not perfectly clear but this seems to be what was intended.
33	138639	Just a choice	Neither	Neither	H. Unclear, confused or missing basis	E. Explicit guess		
34	5b2d0e	Complete guess	Neither	Neither	E. Explicit guess	E. Explicit guess		
35	41a490	i strongly identify the answer 8.	Neither	Target	H. Unclear, confused or missing basis	H. Unclear, confused or missing basis		Oir I, did nto answer
36	9ac645	I figured that the leftmost blue square could be 4, which meant that the square I am supposed to solve would be 1.	Both	Both	B. One PD can go elsewhere, chose the other	B. One PD can go elsewhere, chose the other	Doesn't explain why it'd be 4	
37	5c8a8c	I started by looking at where the 5's and 9's were in the other boxes. I traced them to the row of blue to see which of the blue squares could not have the 5's and 9's. By using that process, I eliminated all of the boxes that could not possibly have a 5 and 9, which left me with the solution.	Both	Both	D. Potentially valid but general or not fully specified	D. Potentially valid but general or not fully specified	Process of elimination, but doesn't explain why answer was chosen.	or H!
38	177f2c	I looked at all the other numbers on the board and chose a number randomly.	Neither	Neither	E. Explicit guess	E. Explicit guess		
39	3a34a5	I checked to see where there could or not be other fours or fives. It seemed to fit the rule to put a 4 in the empty slot.	Both	Both	D. Potentially valid but general or not fully specified	D. Potentially valid but general or not fully specified	Process of elimination, but doesn't explain why answer was chosen.	or H
40	b3b8b2	I first located the 9 box quadrant that the blue shaded section intercedes where the two numbers are located (in this case, the bottom middle quadrant). This eliminates both numbers from the bottom three blue shaded squares. Then I identify the row that contains both numbers (in this case the fourth row from the bottom). This eliminates both numbers from the fourth blue shaded box from the bottom. Then I can eliminate the top blue shaded box from containing a 6, because it is already contained in that top row. This leaves only one shaded blue box remaining where the 6 must be located.	Both	Both	A. Chose digit that cannot go elsewhere	A. Chose digit that cannot go elsewhere		A little unclear
41	34fbed	8	Neither	Target	I. Did not answer the question	I. Did not answer the question		
