Subject ID	sid_hash	Evaluation	correct	Actual	q_strategy	Response	PD	AoE	Basis for Choice	Second Choice	Additional Notes
11	bbcd05	Correct	Correct	Correct	I just calculating the values in the first row and accordingly I have selected this	I just calculating the values in the first row and accordingly I have selected this	Neither		H. Unclear, confused or missing basis		
12	3121c2	Incorrect	Incorrect	Incorrect	I looked at each row and column that already had 1 and 8 and formulated an educated guess that it might be 1.	I looked at each row and column that already had 1 and 8 and formulated an educated guess that it might be 1.	Both	No or yes w/o explanation	H. Unclear, confused or missing basis	E. Explicit guess	Response mentions "educated guess", with some vague reasoning, so it seems like it wasn't a pure guess. Hence, H as first basis, rather than E.
13	8a94cf	Correct	Correct	Correct	I look at the possible solution numbers. Next I look at each empty cell and ask myself if a possible solution number fits into the empty cell as the correct answer I am looking for.	I look at the possible solution numbers. Next I look at each empty cell and ask myself if a possible solution number fits into the empty cell as the correct answer I am looking for.	Vague or uncertain		D. Potentially valid but general or not fully specified		
14	92b882	Correct	Correct	Correct	Looked at the blue line. See 1 in middle right box keeping it safe. Only 1 spot in middle box. 2 spots in middle left box are blocked by 1s coming from upper left and bottom left, therefore I rule that middle box is a 1.	Looked at the blue line. See 1 in middle right box keeping it safe. Only 1 spot in middle box. 2 spots in middle left box are blocked by 1s coming from upper left and bottom left, therefore I rule that middle box is a 1.	Target		A. Chose digit that cannot go elsewhere		
15	6161cc	Incorrect	Incorrect	Incorrect	I believe the number that comes first between 6 and 3 on the first 3 columns is the appropriate number to be inserted in the green space.	I believe the number that comes first between 6 and 3 on the first 3 columns is the appropriate number to be inserted in the green space.	Both	No or yes w/o explanation	F. Irrelevant basis for choice		
16	4bc78a	Correct	Correct	Correct	I used process of elimination. I eliminated numbers 1, 8, and 5 because those numbers are on the same row. I eliminated the number 9 because there was a 9 in the second box. That left me with the number 4.	I used process of elimination. I eliminated numbers 1, 8, and 5 because those numbers are on the same row. I eliminated the number 9 because there was a 9 in the second box. That left me with the number 4.	Both		H. Unclear, confused or missing basis		
17	5c33ce	Correct	Correct	Correct	So i find the square that had the 7 and 5 already in it I know since that has a 7 and 5 that I can eliminate those 3 blue squares. Then I go to the green square and find which blue square that can't be a 7 or 5 and then i find the blue square that can't be a 5 but can be a 7 so then I know since that blue square would be a 7 our green square would be the 5	So i find the square that had the 7 and 5 already in it I know since that has a 7 and 5 that I can eliminate those 3 blue squares. Then I go to the green square and find which blue square that can't be a 7 or 5 and then i find the blue square that can't be a 5 but can be a 7 so then I know since that blue square would be a 7 our green square would be the 5	Both		C. Found cell where one PD could go and the other could not		
18	9c081e	Correct	Correct	Correct	identified numbers in certain boxes relative to the green box.	identified numbers in certain boxes relative to the green box.	Neither		H. Unclear, confused or missing basis		
19	f0467b	Correct	Correct	Correct	I mostly guessed. I'm still learning how to play this game.	I mostly guessed. I'm still learning how to play this game.	Neither		E. Explicit guess		
20	dc66bc	Correct	Correct	Correct	I used the boxes in the blue row to determine which digits are missing. Then i looked for possible missing numbers that would be placed in the box.	I used the boxes in the blue row to determine which digits are missing. Then i looked for possible missing numbers that would be placed in the box.	Neither		H. Unclear, confused or missing basis		
21	bc967f	Correct	Correct	Correct	I knew it had to be one of the other numbers and I knew it couldn't be 5, 8, or 6 and the one next to it couldn't be 4.	I knew it had to be one of the other numbers and I knew it couldn't be 5, 8, or 6 and the one next to it couldn't be 4.	Both		H. Unclear, confused or missing basis		
22	3df3f7	Correct	Correct	Correct	I started by looking at the far left blue square, then going up and down the row to see which numbers were in that row (9, 4) so I know that neither 9 or 4 are going to be in that box. I went to the next blue box to the right and looked at the numbers in that row (4). This means that 4 isn't going to be in that box, which means 9 is a potential answer. The three blue squares on the far right aren't going to have either 9 or 4 in them because those numbers are in that set of 9 squares. This leaves the green box as the only place for 4.	I started by looking at the far left blue square, then going up and down the row to see which numbers were in that row (9, 4) so I know that neither 9 or 4 are going to be in that box. I went to the next blue box to the right and looked at the numbers in that row (4). This means that 4 isn't going to be in that box, which means 9 is a potential answer. The three blue squares on the far right aren't going to have either 9 or 4 in them because those numbers are in that set of 9 squares. This leaves the green box as the only place for 4.	Both		A. Chose digit that cannot go elsewhere	C. Found cell where one PD could go and the other could not	Ultimately the basis for choice is A, but the subject explicitly mentions one of the blue squares being possibly a 9 (and not a 4). This could have been ignored if going solely by basis A. Hence, basis C as second choice.
23	b6481a	Incorrect	Incorrect	Incorrect	The number came before the 4, allowing it to cover the three blue tiles.	The number came before the 4, allowing it to cover the three blue tiles.	Both	No or yes w/o explanation	F. Irrelevant basis for choice		
24	0b8ba1	Incorrect	Incorrect	Incorrect	There are only 2 possible answers 7 or a 2. I look for the number that is physically farther away from the line to be solved.	There are only 2 possible answers 7 or a 2. I look for the number that is physically farther away from the line to be solved.	Both	No or yes w/o explanation	F. Irrelevant basis for choice		
25	0269e6	Correct	Correct	Correct	yes	yes	Neither		I. Did not answer the question		
26	c23ac3	Correct	Correct	Correct	I found 7 would be the right choice when compared to other boxes	I found 7 would be the right choice when compared to other boxes	Target		H. Unclear, confused or missing basis		
27	0fc5c2	Correct	Correct	Correct	I looked at each row to find a number that was the only one on the row. Then I look to see if it is the only one in the box. If it is I look at what the opposite number would go in the column, then I go to the spot I'm trying to fill and choose the other opposite number of the one that would go in that row.	I looked at each row to find a number that was the only one on the row. Then I look to see if it is the only one in the box. If it is I look at what the opposite number would go in the column, then I go to the spot I'm trying to fill and choose the other opposite number of the one that would go in that row.	Vague or uncertain		H. Unclear, confused or missing basis		
28	71f8a5	Incorrect	Incorrect	Incorrect	I looked at the number (7) that is duplicated in most of the cells and usually picked that one.	I looked at the number (7) that is duplicated in most of the cells and usually picked that one.	Distractor	No or yes w/o explanation	G. Chose the most frequent digit		
29	350557	Incorrect	Incorrect	Incorrect	The first thing I did was look at the 3x3 square. By looking at that, I realized it could be either 5 0r 9. Then I saw that the row below it had a 9, so I knew the answer must be five.	The first thing I did was look at the 3x3 square. By looking at that, I realized it could be either 5 0r 9. Then I saw that the row below it had a 9, so I knew the answer must be five.	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
30	88c361	Incorrect	Incorrect	Incorrect	I tried to look at each of the other squares to get the number but not sure I figured out how to do this. I tried to eliminate other cells that already had that number in the row.	I tried to look at each of the other squares to get the number but not sure I figured out how to do this. I tried to eliminate other cells that already had that number in the row.	Vague or uncertain	No or yes w/o explanation	H. Unclear, confused or missing basis		
31	3190d6	Incorrect	Incorrect	Incorrect	Honestly, I don't quite get these types of puzzles. I mapped it in my head and looked at what would be a fifty-fifty shot on what would be right.	Honestly, I don't quite get these types of puzzles. I mapped it in my head and looked at what would be a fifty-fifty shot on what would be right.	Vague or uncertain	No or yes w/o explanation	E. Explicit guess	H. Unclear, confused or missing basis	"fifty-fifty shot" is indicative of a guess, but "I mapped it in my head" seems indicative of Unclear or confused basis.
32	34fbed	Correct	Correct	Correct	8	8	Target		I. Did not answer the question		
33	e70f44	Correct	Correct	Correct	I picked one of the two options - in this case the 4. I typed it in and then checked to see if it could go anywhere else. If not I pressed submit. If 4 could go in any of the other blue boxes, I changed the 4 to the other number - in this case 6.     So basically, I picked one and then 'proofed' it.	I picked one of the two options - in this case the 4. I typed it in and then checked to see if it could go anywhere else. If not I pressed submit. If 4 could go in any of the other blue boxes, I changed the 4 to the other number - in this case 6.     So basically, I picked one and then 'proofed' it.	Both		A. Chose digit that cannot go elsewhere	B. One PD can go elsewhere, chose the other	Used A strategy, but was ready to counterfactually use B strategy.
34	bfd88d	Correct	Correct	Correct	1) I eliminated the 3 spaces in the 3x3 box that already contain 1 and 2.  2) I moved to the center box to confirm that neither number could be in the space to the left of the green box.  3) I moved to the final 3x3 square to see which of the 2 could be placed there, leaving me with the answer for the green space.	1) I eliminated the 3 spaces in the 3x3 box that already contain 1 and 2.  2) I moved to the center box to confirm that neither number could be in the space to the left of the green box.  3) I moved to the final 3x3 square to see which of the 2 could be placed there, leaving me with the answer for the green space.	Both		B. One PD can go elsewhere, chose the other		
35	8fe5a8	Correct	Correct	Correct	Looked at the 1 in the box to the left and thought the blue box would be a 6 so green box 1	Looked at the 1 in the box to the left and thought the blue box would be a 6 so green box 1	Both		D. Potentially valid but general or not fully specified		
36	e64240	Incorrect	Incorrect	Incorrect	i tried to see how i could not block two numbers being together	i tried to see how i could not block two numbers being together	Neither	No or yes w/o explanation	H. Unclear, confused or missing basis		
37	03a897	Correct	Correct	Correct	I started at the top right box and could see that it was a 1, and so the blue box to it's left would be a 4.     I then noted that the rest of the columns/boxes already had their 1 or 4 spots taken.    I used deduction, as best as I can tell.	I started at the top right box and could see that it was a 1, and so the blue box to it's left would be a 4.     I then noted that the rest of the columns/boxes already had their 1 or 4 spots taken.    I used deduction, as best as I can tell.	Both		C. Found cell where one PD could go and the other could not		
38	3f2fda	Incorrect	Incorrect	Incorrect	I lined up the 6's and the 9's on the horizontal axis to eliminate those rows visually in my mind. Then I tried to imagine what other numbers would be added or eliminated in that row. So the answer has to be a 6 or a 9 because you could put in more than one box 2, 4, 5, and 8. So those numbers are gone. So the answer has to be either 6 or 9. I then flipped a coin and it came up heads so it became a 6. On a separate note, I tried to play Sudoku when I was younger and had a horrible time at it and even though I feel I am ok with numbers I have the worst block with this game.	I lined up the 6's and the 9's on the horizontal axis to eliminate those rows visually in my mind. Then I tried to imagine what other numbers would be added or eliminated in that row. So the answer has to be a 6 or a 9 because you could put in more than one box 2, 4, 5, and 8. So those numbers are gone. So the answer has to be either 6 or 9. I then flipped a coin and it came up heads so it became a 6. On a separate note, I tried to play Sudoku when I was younger and had a horrible time at it and even though I feel I am ok with numbers I have the worst block with this game.	Both	No or yes w/o explanation	E. Explicit guess		
39	09a6b1	Correct	Correct	Correct	First I looked to see which 3 x 3 block had the numbers 4 and 3 within it. I mentally noted that the 3 x 3 block with those two numbers already there could not contain another 3 or 4. I looked to the next column that I 3 or 4 could belong in. I noticed that a 4 could exist in that column but a 3 could not. That made me realize that 3 belonged in the green box.	First I looked to see which 3 x 3 block had the numbers 4 and 3 within it. I mentally noted that the 3 x 3 block with those two numbers already there could not contain another 3 or 4. I looked to the next column that I 3 or 4 could belong in. I noticed that a 4 could exist in that column but a 3 could not. That made me realize that 3 belonged in the green box.	Both		C. Found cell where one PD could go and the other could not		
40	e44873	Correct	Correct	Correct	First, I eliminated the quadrant with both the 3 and the 1 as a means of determining which number to pick.    Then I looked at the quadrant with the two empty boxes and mentally interrogated the empty boxes.     Since I new that one empty box could not contain a 3 or a 1 as these were both in the row containing the box, I moved on to the other empty box.    I reasoned that since the last box had a row containing the 3, I could not eliminate 1 as potentially populating this box.     The empty green box then, should contain a 3.	First, I eliminated the quadrant with both the 3 and the 1 as a means of determining which number to pick.    Then I looked at the quadrant with the two empty boxes and mentally interrogated the empty boxes.     Since I new that one empty box could not contain a 3 or a 1 as these were both in the row containing the box, I moved on to the other empty box.    I reasoned that since the last box had a row containing the 3, I could not eliminate 1 as potentially populating this box.     The empty green box then, should contain a 3.	Both		B. One PD can go elsewhere, chose the other		
41	4b8e45	Correct	Correct	Correct	First, since I noticed that two numbers were always given as clues, I would figure out which two numbers I'd be seeing fit. Then I'd look at each empty box on the blue line, starting left and going right (or up to down for vertical blue lines). For each box, I'd determine which number couldn't go there. If a number COULD go there, I knew that that wasn't the right answer and that the other number was the answer.	First, since I noticed that two numbers were always given as clues, I would figure out which two numbers I'd be seeing fit. Then I'd look at each empty box on the blue line, starting left and going right (or up to down for vertical blue lines). For each box, I'd determine which number couldn't go there. If a number COULD go there, I knew that that wasn't the right answer and that the other number was the answer.	Both		B. One PD can go elsewhere, chose the other		
42	84a8c0	Incorrect	Incorrect	Incorrect	I actually realize now that I made a mistake while solving this puzzle. I think I should have put a 2 where I put the 9. However my strategy was to check each blue square, seeing if either of the numbers in the white boxes would fit there. In each case there was one of the numbers that could only go one place while still leaving a spot for the other number.	I actually realize now that I made a mistake while solving this puzzle. I think I should have put a 2 where I put the 9. However my strategy was to check each blue square, seeing if either of the numbers in the white boxes would fit there. In each case there was one of the numbers that could only go one place while still leaving a spot for the other number.	Both	Yes with explanation	A. Chose digit that cannot go elsewhere		
43	a43819	Correct	Correct	Correct	I first found the square that contained both a 4 and 2 which blocked those space. I then looked for the open spaces in the columns and followed each row and noticed which ones where blocked by two numbers. I then looked at the last space that was not green and saw that it was blocked by a 2. The green space was the only space to put a 2 so that is the answer.	I first found the square that contained both a 4 and 2 which blocked those space. I then looked for the open spaces in the columns and followed each row and noticed which ones where blocked by two numbers. I then looked at the last space that was not green and saw that it was blocked by a 2. The green space was the only space to put a 2 so that is the answer.	Both		A. Chose digit that cannot go elsewhere		
44	07e119	Correct	Correct	Correct	I scanned each of the boxes along the highlighted column, trying to fit in a 2 or a 3 in each. I used a process of elimination so that I chose ONLY the number that HAD to go in the green box.	I scanned each of the boxes along the highlighted column, trying to fit in a 2 or a 3 in each. I used a process of elimination so that I chose ONLY the number that HAD to go in the green box.	Both		A. Chose digit that cannot go elsewhere		
45	1c6499	Incorrect	Incorrect	Incorrect	I know that it has to either be a 4 or a 6 based on their frequency in the puzzle. I try to visualize which rows are "blocked off" based on the numbers in the rows and columns.	I know that it has to either be a 4 or a 6 based on their frequency in the puzzle. I try to visualize which rows are "blocked off" based on the numbers in the rows and columns.	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
46	f704f1	Correct	Correct	Correct	The first thing I did was locate the square section that contains both of the possible numbers and the three empty blue squares. After locating this section, I can completely ignore this area since it is irrelevant to finding the answer now. Next I look for either of the two possible numbers (in this case 2 or 3) which is isolated, in a row or column all by itself. Upon finding that number, I'm finished. Just take that number, and since you know that its counterpart will be filled in in the blue row, you can just take the isolated number and make it your answer.	The first thing I did was locate the square section that contains both of the possible numbers and the three empty blue squares. After locating this section, I can completely ignore this area since it is irrelevant to finding the answer now. Next I look for either of the two possible numbers (in this case 2 or 3) which is isolated, in a row or column all by itself. Upon finding that number, I'm finished. Just take that number, and since you know that its counterpart will be filled in in the blue row, you can just take the isolated number and make it your answer.	Both		C. Found cell where one PD could go and the other could not		
47	0f54d5	Correct	Correct	Correct	I went through the "hint" numbers in blue and did process of elimination in my head.	I went through the "hint" numbers in blue and did process of elimination in my head.	Vague or uncertain		D. Potentially valid but general or not fully specified		
48	d45e8d	Incorrect	Incorrect	Incorrect	During the curse of the previous game i discovered the answers are either one of the two numbers in the puzzle but not in the row as the green box	During the curse of the previous game i discovered the answers are either one of the two numbers in the puzzle but not in the row as the green box	Both	No or yes w/o explanation	H. Unclear, confused or missing basis	E. Explicit guess	Mostly unclear, but "the answers are either one of the two numbers" suggests either guessing (hence E as secondary choice), or a mistaken belief that both PDs are acceptable answers.
49	11ab9d	Correct	Correct	Correct	1) Numbers that appear the most are 5 and 3, so I have to put either number 5 or 3 on the square with green color    2) Since each large square contains the number 1-9, I looked for the square that already have the number 3 and 5 and eliminate that large square (which is located at the first column of large squares)    3) The number 5 and 3 possibly located at the second or third column    4) I look at the third large square column and it's impossible because the only blank space has 5 and 3 and in a small column there can only be each one 5 and one 3. so the third large column is eliminated    5) The only possible location now for 5 and 3 is the second large column.    6) in the second large column, the first small column already have number 3 on it, so we can only put number 5 on the blue square    7) So the answer for the green square is 3	1) Numbers that appear the most are 5 and 3, so I have to put either number 5 or 3 on the square with green color    2) Since each large square contains the number 1-9, I looked for the square that already have the number 3 and 5 and eliminate that large square (which is located at the first column of large squares)    3) The number 5 and 3 possibly located at the second or third column    4) I look at the third large square column and it's impossible because the only blank space has 5 and 3 and in a small column there can only be each one 5 and one 3. so the third large column is eliminated    5) The only possible location now for 5 and 3 is the second large column.    6) in the second large column, the first small column already have number 3 on it, so we can only put number 5 on the blue square    7) So the answer for the green square is 3	Both		C. Found cell where one PD could go and the other could not		
50	f15c3c	Incorrect	Incorrect	Incorrect	The correct answer is 6. Since I must pick between the two numbers 6 or 3, the only possible answer is 6. The number 3 can be in the current box or the box above while 6 can only be in the given box since 6 is in the 9x9 quadrant below and there is a 6 in the horizon of boxes above.	The correct answer is 6. Since I must pick between the two numbers 6 or 3, the only possible answer is 6. The number 3 can be in the current box or the box above while 6 can only be in the given box since 6 is in the 9x9 quadrant below and there is a 6 in the horizon of boxes above.	Both	Yes with explanation	A. Chose digit that cannot go elsewhere	B. One PD can go elsewhere, chose the other	Explicitly says Target can't go anywhere else (basis A), and also that the distractor can go elsewhere (basis B).
51	1e8dff	Correct	Correct	Correct	basically i only look at the two digits used outside the blue row then i narrow down which column couldnt possibly be but one of the digits since no column or row can repeat digits	basically i only look at the two digits used outside the blue row then i narrow down which column couldnt possibly be but one of the digits since no column or row can repeat digits	Both		H. Unclear, confused or missing basis		
52	7bbbeb	Correct	Correct	Correct	First, I noted that the answer had to be 2 or 7, because these are the numbers appearing outside this column. Second, I asked whether the 2 could go anywhere else in the column than in the box of interest, and saw or started to see that it could not. Next, I checked my intuition that 2 was the correct answer by verifying that the 7 could go in at least two places in the row, i.e. in the box of interest or in the next available box (below the 6), which indeed proved to be the case, thus verifying that the answer had to be 2.	First, I noted that the answer had to be 2 or 7, because these are the numbers appearing outside this column. Second, I asked whether the 2 could go anywhere else in the column than in the box of interest, and saw or started to see that it could not. Next, I checked my intuition that 2 was the correct answer by verifying that the 7 could go in at least two places in the row, i.e. in the box of interest or in the next available box (below the 6), which indeed proved to be the case, thus verifying that the answer had to be 2.	Both		A. Chose digit that cannot go elsewhere	B. One PD can go elsewhere, chose the other	Explicitly says Target can't go anywhere else (basis A), and then "checked [their] intuition" by verifying that distractor can go elsewhere (basis B).
53	126cd5	Correct	Correct	Correct	I looked to see if there were any 1's 5's blocking the path first. Then I try to figure out which is more likely to be the number that I have chosen. So far with a few exceptions and the limited info provided, I feel that its still a bit of a guessing game. But I'm not sure about that either.	I looked to see if there were any 1's 5's blocking the path first. Then I try to figure out which is more likely to be the number that I have chosen. So far with a few exceptions and the limited info provided, I feel that its still a bit of a guessing game. But I'm not sure about that either.	Both		E. Explicit guess		
54	d65d2f	Incorrect	Incorrect	Incorrect	tried to visualize the corresponding cells to where I believed the number I chose would fit.	tried to visualize the corresponding cells to where I believed the number I chose would fit.	Vague or uncertain	No or yes w/o explanation	H. Unclear, confused or missing basis		
55	9c16b2	Correct	Correct	Correct	I looked at the top set and determined that 5/9 could not be used in that blue column. I looked at bottom 9 on the left and determined that a 5 would have to go in the blue square of the same row. This left 9 as the anser to the green square.	I looked at the top set and determined that 5/9 could not be used in that blue column. I looked at bottom 9 on the left and determined that a 5 would have to go in the blue square of the same row. This left 9 as the anser to the green square.	Both		B. One PD can go elsewhere, chose the other		
56	b07411	Correct	Correct	Correct	1. I determined that a 7 could possibly fit into the first empty light blue square.  2. I noted that an 8 would not work in that square because there was already an 8 in the column.  3. I noted that neither an 8 or 7 would fit into the third empty light blue square because there was already an 8 and 7 in that column.  4. I also noted that neither an 8 or 7 could be used for the last three light blue blank squares because there was already an 8 and 7 in the 9x9 grid.  5. The only place the 8 would fit is in the second empty light blue square.	1. I determined that a 7 could possibly fit into the first empty light blue square.  2. I noted that an 8 would not work in that square because there was already an 8 in the column.  3. I noted that neither an 8 or 7 would fit into the third empty light blue square because there was already an 8 and 7 in that column.  4. I also noted that neither an 8 or 7 could be used for the last three light blue blank squares because there was already an 8 and 7 in the 9x9 grid.  5. The only place the 8 would fit is in the second empty light blue square.	Both		A. Chose digit that cannot go elsewhere	C. Found cell where one PD could go and the other could not	Explicitly says Target can't go anywhere else as the conclusion of their reasoning (basis A; refers to the only possible square for the target as "the second empty light blue square", but places it on the green square, so this was probably a mistake in reporting). Also notes that "the first empty light blue square" could hold the distractor but not the target (basis C). Basis B could also be appropriate as secondary / tertiary choice here.
57	bcb620	Correct	Correct	Correct	i calculated the possibilities of having 9 in the column and i just decided to put it.	i calculated the possibilities of having 9 in the column and i just decided to put it.	Target		H. Unclear, confused or missing basis	E. Explicit guess	Mostly unclear / confused / missing (basis H), but "I just decided to put it" in the end also seems suggestive of a guess (basis E)
58	7e3d43	Correct	Correct	Correct	I saw multiple 7's and multiple 2's. Assuming that the answer was one of those two numbers I looked over and chose 7 because it at quick glance seemed the most likely to belong there. I chose to go on the multiples because I noticed the trend of using the multiples as an answer during the 120 second timed puzzles as well as the tutorial screens	I saw multiple 7's and multiple 2's. Assuming that the answer was one of those two numbers I looked over and chose 7 because it at quick glance seemed the most likely to belong there. I chose to go on the multiples because I noticed the trend of using the multiples as an answer during the 120 second timed puzzles as well as the tutorial screens	Both		H. Unclear, confused or missing basis		
59	9066ea	Correct	Correct	Correct	I checked each open blue square to see if there was an 8 in the row, column or 9 square, I concluded there was not. I checked the 6 and there was another blue square option where the 6 could go. So, I concluded the 8 belonged in the green square.	I checked each open blue square to see if there was an 8 in the row, column or 9 square, I concluded there was not. I checked the 6 and there was another blue square option where the 6 could go. So, I concluded the 8 belonged in the green square.	Both		B. One PD can go elsewhere, chose the other		
60	d1dfe3	Correct	Correct	Correct	At first I looked at the box in the middle upper are 4 and 8 so the correct number is 4 or 8, then I looked at other rows where are not numbers and there are 4 both of them so it has to be 4.	At first I looked at the box in the middle upper are 4 and 8 so the correct number is 4 or 8, then I looked at other rows where are not numbers and there are 4 both of them so it has to be 4.	Both		A. Chose digit that cannot go elsewhere		
61	9ea0ec	Correct	Correct	Correct	First, I went to check which two numbers not in blue were already in their own box together (7 and 6). I then went to the box on the far left to find which column had a 6 or 7 in it. After seeing the column had only a 6, I figured out that 7 could be put in that column's blue square and the green square. Understanding this, I concluded that the green square would be the only place I could put 6.	First, I went to check which two numbers not in blue were already in their own box together (7 and 6). I then went to the box on the far left to find which column had a 6 or 7 in it. After seeing the column had only a 6, I figured out that 7 could be put in that column's blue square and the green square. Understanding this, I concluded that the green square would be the only place I could put 6.	Both		B. One PD can go elsewhere, chose the other	A. Chose digit that cannot go elsewhere	Reasoning described is essentially basis B, but concludes with a clear statement of A.
62	204ea5	Incorrect	Incorrect	Incorrect	I looked where the empty spots would be for 5 and it allows the 5 to go above the 6	I looked where the empty spots would be for 5 and it allows the 5 to go above the 6	Both	No or yes w/o explanation	H. Unclear, confused or missing basis		
63	525df4	Incorrect	Incorrect	Incorrect	I am very new at this and I am just familiarizing myself on these puzzles. The best answer I can give is what number comes next. Is it random?	I am very new at this and I am just familiarizing myself on these puzzles. The best answer I can give is what number comes next. Is it random?	Neither	No or yes w/o explanation	H. Unclear, confused or missing basis	E. Explicit guess	Does attempt to give an answer (which is unclear, hence H), but also seems to believe it's random, and so is probably just guessing (hence E).
