subject_id	dtest_solved	dtest_duration	dtest_num_attempts	dtest_skipped	gender	age	education	edu_status	prior_exposure	prior_attempt	prior_completed	m_alg	m_geom	m_trig	m_sv_calc	m_mv_calc	m_linalg	m_pr_stat	m_disc	m_logic	q_attn_check1	q_attn_check2	q_attn_check3	q_puzzle	q_puzzle_digit	digit_target	digit_distractor	q_confidence	q_strategy	q_digit_selection	q_digit_notice	q_hint_select	q_hint_explain	q_digit_check	q_check_strategy	q_check_strategy_select	q_additional_info	tut_house	sid_hash
56	False		0	True	Female	56	mast	Completed	Yes	No	None	True	True	True	False	False	False	False	False	False	True	True	False	target	8.0	8.0	9.0	5.0	I go through the line and determine what the number CAN'T be. I use the process of elimination. I figured it had to be an 8 or 9 because they couldn't be in the first box. It's still kind of a crapshoot, though. I am not adept at this game. 	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['targetDouble', 'emptyDouble']					I went through the line and counted, and as I came upon each box, I used the process of elimination to determine what the box COULD NOT be.	row	86bf73
57	True	74.692	1	False	Female	51	bach	Completed	Yes	Yes	10 or more	True	True	True	False	False	False	False	False	False																			1e290a
58	True	72.517	1	False	Female	28	bach	Completed	Yes	Yes	1 to 3	False	False	False	False	True	False	False	False	False																			850384
59	True	71.572	1	False	Female	30	hs	Completed	Yes	Yes	None	True	True	False	False	False	False	False	False	False																			9b2ec0
60	False		0	True	Female	42	bach	Completed	No	No	None	True	False	False	False	False	False	False	False	True	False	True	True	target	8.0	8.0	3.0	95.0	i strongly identify the answer 8.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['targetDouble', 'emptyDouble']					seriously i find out the answer 8.	column	41a490
61	False		0	True	Female	32	bach	Completed	Yes	No	None	True	True	False	False	False	False	True	False	False	True	True	False	target	4.0	4.0	9.0	80.0	I used process of elimination. I eliminated numbers 1, 8, and 5 because those numbers are on the same row. I eliminated the number 9 because there was a 9 in the second box. That left me with the number 4.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	I narrowed it down between 4 and 9. But then I eliminated the 9 because there was a 9 in the second box.	['distractorDouble']	I was able to rule out 9 as the number.	No, I just submitted my original guess without checking any further.			I don't have any other information. I just used process of elimination. 	row	4bc78a
62	True	34.296	1	False	Male	22	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	False	True	False	False																			f128d0
63	True	49.212	1	False	Female	32	bach	Currently pursuing	Yes	Yes	10 or more	True	True	True	True	True	True	False	False	False																			444cc0
64	True	232.508	1	False	Male	35	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	False	False																			8124d9
65	True	151.106	1	False	Male	60	bach	Completed	No	No	1 to 3	True	True	False	False	False	False	True	False	False																			ced438
66	False	78.172	1	False	Male	22	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	False	False	False																			9963e3
67	False		0	True	Male	48	mast	Completed	Yes	Yes	1 to 3	True	True	True	True	True	True	True	True	False																			a6d668
68	True	65.066	1	False	Female	22	bach	Completed	Yes	Yes	10 or more	True	True	False	True	False	False	True	False	False																			cea9a4
69	True	106.101	1	False	Female	54	asso	Completed	Yes	Yes	10 or more	True	True	False	False	False	False	False	False	False																			c9a4db
70	False		0	True	Male	20	asso	Currently pursuing	Yes	Yes	None	False	False	False	True	True	False	True	False	False	True	True	False	distractor	1.0	8.0	1.0	45.0	I looked at each row and column that already had 1 and 8 and formulated an educated guess that it might be 1.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The number 8 appeared twice in the top three boxes. 	['targetDouble', 'targetSingle']	They appeared in the first three rows. 	No, I just submitted my original guess without checking any further.			N/A	column	3121c2
71	True	242.352	1	False	Prefer not to say	39	mast	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	False	False																			b460d7
72	True	147.069	1	False	Female	47	mast	Completed	Yes	Yes	10 or more	True	True	False	False	True	False	False	False	False																			9accb2
73	False		0	True	Male	25	bach	Currently pursuing	Yes	Yes	10 or more	True	True	True	True	False	False	False	False	False																			532018
74	True	48.804	1	False	Male	21	bach	Currently pursuing	Yes	Yes	10 or more	True	True	True	True	False	False	False	False	False																			c1a254
75	True	40.257	1	False	Female	41	mast	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	False	False																			086a90
76	False	29.01	1	False	Female	25	bach	Currently pursuing	Yes	Not sure	1 to 3	True	True	True	True	False	True	False	False	False																			3e3463
77	True	72.993	1	False	Male	30	bach	Completed	Yes	Yes	10 or more	True	True	False	False	False	False	True	False	False																			f19c04
78	True	23.898	1	False	Female	30	mast	Completed	Yes	Yes	10 or more	True	True	True	True	False	True	True	True	False																			774941
79	True	97.438	1	False	Male	39	bach	Completed	Yes	Yes	4 to 6	True	True	False	True	False	True	True	True	False																			b36204
80	False		0	True	Female	27	bach	Completed	Yes	Yes	None	True	False	False	True	True	True	True	False	False	True	True	False	target	3.0	3.0	5.0	70.0	I used process of elimination of where to put the 3.	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	The more vertical 3's in the puzzle.	['targetDouble', 'targetBox', 'targetSingle']	The 3's to the right helped me narrow down the selection I needed.	No, I just submitted my original guess without checking any further.			n/a	row	c10a64
81	True	233.294	1	False	Male	33	no_hs	Currently pursuing	Yes	Yes	1 to 3	True	False	False	False	False	False	False	False	False																			f83235
82	True	108.616	1	False	Female	47	hs	Currently pursuing	Yes	Yes	10 or more	False	False	False	False	False	False	True	False	True																			909f86
83	False	33.998	4	False	Male	66	bach	Completed	Yes	No	1 to 3	False	True	False	False	False	False	False	False	False																			a42e7d
84	False		0	True	Female	45	asso	Completed	No	No	None	True	False	False	False	False	False	False	False	False	True	True	False	target	8.0	8.0	5.0	50.0	pure guess	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		['targetDouble', 'targetBox', 'targetSingle']					i really don't understand the game and had 50/50 chance guessing	row	e65221
85	False		0	True	Male	27	bach	Completed	Yes	No	None	True	True	True	True	False	False	True	False	False	True	True	False	distractor	5.0	8.0	5.0	100.0	Because I think it will be 5 because of the row it is and how close it is to eliminate as well	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	Because the 5 is closer than 8	['emptyDouble']	IDK	No, I just submitted my original guess without checking any further.			N/A	column	dfb1fe
86	True	30.77	2	False	Female	32	phd	Currently pursuing	Yes	Yes	10 or more	True	True	True	False	True	False	True	False	False																			433056
87	False		0	True	Female	61	asso	Completed	Yes	Yes	None	True	True	False	False	False	False	True	False	False	True	True	False	distractor	1.0	3.0	1.0	50.0	I used one of the two numbers already presented and went with an intuitive guess	I noticed something in the puzzle that initially made one candidate seem more likely to be correct than the other.	Their positions on the graph not chosen as of yet	[(7, 1)]	where in the cell it was	No, I just submitted my original guess without checking any further.			Again where located in the other grids	column	bfe685
88	True	112.47	2	False	Female	20	bach	Currently pursuing	Yes	Yes	1 to 3	True	True	True	True	True	True	True	False	False																			bb2857
89	False		0	True	Female	65	hs	Completed	Yes	No	None	False	False	False	False	False	False	False	False	True	True	True	False	distractor	8.0	2.0	8.0	75.0	By means of deduction what each square couldn't be.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		[(7, 1)]					I found the horizontal puzzles easier to do than the vertical ones	row	635ad3
90	False		0	True	Male	27	bach	Completed	Yes	Yes	1 to 3	True	True	True	False	False	False	True	False	True																			2f1882
91	True	71.486	1	False	Female	32	hs	Completed	Yes	Yes	1 to 3	True	True	False	True	True	True	True	False	False																			4b955b
92	True	66.94	1	False	Female	28	bach	Completed	Yes	Yes	10 or more	True	True	True	False	False	False	False	False	False																			a49dac
93	True	53.748	1	False	Female	29	prof	Completed	Yes	Yes	10 or more	False	False	True	True	True	True	True	True	True																			bff023
94	False	176.318	11	False	Male	38	bach	Completed	Yes	Yes	1 to 3	False	False	False	False	False	False	False	False	True																			090359
95	True	98.087	1	False	Male	27	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	True	True																			06d442
96	False	376.325	31	False	Female	58	hs	Completed	Yes	Yes	4 to 6	False	True	False	False	False	False	False	False	False																			e79240
97	False		0	True	Male	26	asso	Completed	Yes	Yes	1 to 3	True	True	True	True	True	True	False	False	False																			e2a20f
98	False		0	True	Male	31	bach	Completed	Yes	No	None	True	True	False	False	False	False	True	False	False	True	True	False	target	7.0	7.0	5.0	75.0	First, I looked at all of the numbers in the row of the answer needed. Then, I looked if there were any numbers in that column. I then looked at the numbers in the 3x3 square of the answer needed. I tried to work out some of the numbers of the row with the answer and the square to find the number needed.	I arbitrarily chose between the two candidates because they seemed equally promising to consider.		[(7, 1)]					I followed all of the steps that I previously mentioned. I also looked at the numbers in adjacent 3x3 squares and tried to determine numbers that cannot be the answer.	row	714f1c
99	False	21.01	2	False	Female	31	hs	Completed	Yes	Yes	1 to 3	True	True	False	False	False	False	False	False	False																			d52684
100	True	69.727	1	False	Male	39	bach	Completed	Yes	Yes	10 or more	True	True	True	True	False	True	False	False	True																			208263
101	True	158.206	1	False	Female	51	hs	Completed	Yes	Yes	10 or more	True	False	False	False	False	False	False	False	False																			58befb
102	True	93.297	1	False	Male	25	bach	Currently pursuing	Yes	Yes	7 to 9	False	False	False	True	False	False	True	False	False																			a5c51c
103	True	79.9	1	False	Male	25	bach	Completed	Yes	Yes	4 to 6	True	True	True	True	True	True	True	True	False																			84c551
104	False		0	True	Female	34	hs	Completed	No	No	1 to 3	False	False	True	False	False	False	False	False	False																			eb4f17
105	True	87.398	1	False	Female	30	asso	Completed	Yes	Yes	10 or more	True	True	False	False	False	False	False	False	False																			e7a9fe
106	False		0	True	Male	33	mast	Completed	Yes	Yes	1 to 3	False	False	True	False	True	True	False	False	True																			3ebcac
107	True	141.482	1	False	Female	33	bach	Completed	Yes	Yes	4 to 6	True	False	False	True	False	True	True	False	False																			6d0623
108	False	300.18	2	False	Female	47	mast	Completed	Not sure	Yes	4 to 6	False	True	False	False	False	False	False	False	False																			ba7e7e
109	True	26.241	1	False	Female	30	mast	Completed	Yes	Yes	10 or more	True	True	True	True	True	True	True	False	False																			2fdbd5
110	True	51.075	1	False	Male	62	bach	Completed	Yes	Yes	10 or more	False	False	False	False	False	False	True	False	False																			e58591
111	True	45.26	1	False	Female	25	prof	Completed	Yes	Yes	10 or more	True	True	True	True	True	False	True	False	False																			0a7bb3
112	True	301.725	2	False	Male	40	bach	Completed	Yes	Yes	4 to 6	False	False	False	False	False	False	True	False	False																			d14619
113	True	86.472	1	False	Female	39	mast	Completed	Yes	Yes	10 or more	True	True	False	False	False	True	True	False	True																			b2ddb1
114	False	51.241	2	False	Male	47	asso	Completed	Yes	Yes	1 to 3	False	False	False	True	False	False	False	False	False																			714d57
115	True	68.386	1	False	Female	22	prof	Currently pursuing	Yes	Yes	10 or more	True	True	True	True	False	False	False	False	False																			efb8d3
116	False		0	True	Male	28	asso	Currently pursuing	Yes	Yes	4 to 6	False	True	False	False	False	False	False	False	False																			db84fe
117	True	66.64	1	False	Male	61	bach	Completed	Yes	Yes	1 to 3	False	False	False	False	False	False	True	False	False																			31bb91
118	True	83.749	1	False	Male	29	phd	Currently pursuing	Yes	Yes	1 to 3	True	True	False	False	False	False	False	False	True																			1290a1
119	True	81.438	1	False	Female	53	hs	Completed	Yes	Yes	1 to 3	False	True	False	False	False	False	True	False	False																			017680
120	True	102.258	1	False	Female	36	bach	Completed	Yes	Yes	10 or more	True	True	False	False	False	False	False	False	False																			ab40c6
121	True	51.426	1	False	Female	28	mast	Completed	Yes	Yes	10 or more	True	True	True	False	False	True	True	False	True																			3f2d8c
122	True	167.08	1	False	Male	44	mast	Completed	Yes	Yes	1 to 3	True	False	False	False	False	False	False	False	False																			d1c4ca
123	True	77.6	1	False	Male	37	bach	Completed	Yes	Yes	10 or more	True	True	True	True	True	False	True	False	False																			714b57
124	True	64.449	1	False	Female	38	bach	Completed	Yes	Yes	10 or more	True	True	False	False	False	False	False	False	False																			f77077
125	True	217.669	1	False	Female	26	hs	Currently pursuing	Yes	No	None	True	False	False	False	False	False	False	False	False																			e7fd29
126	True	76.884	1	False	Female	21	hs	Currently pursuing	Yes	Yes	10 or more	True	True	True	False	False	False	False	False	False																			dd6354
127	True	56.846	1	False	Male	26	bach	Completed	Yes	Yes	1 to 3	True	True	True	False	False	False	False	False	False																			36d62d
128	False	37.532	1	False	Male	50	asso	Completed	Yes	Yes	1 to 3	False	False	True	False	False	False	False	False	False																			cdd2fd
129	True	141.494	1	False	Male	39	asso	Completed	Yes	Yes	10 or more	True	True	True	False	False	False	True	False	False																			734983
130	False		0	True	Male	32	mast	Completed	Yes	Yes	1 to 3	False	False	True	False	False	False	False	False	False																			812c63
131	True	177.214	1	False	Female	47	mast	Completed	Yes	Yes	4 to 6	False	True	False	False	False	False	False	False	False																			22051e
132	True	155.198	2	False	Male	18	hs	Currently pursuing	Yes	Yes	4 to 6	True	True	True	True	False	False	False	False	False																			0041f6
133	True	95.192	1	False	Male	39	mast	Completed	Yes	Yes	1 to 3	False	False	True	False	False	False	True	False	False																			cc69dd
134	True	71.118	1	False	Female	56	hs	Completed	Yes	Yes	1 to 3	True	False	False	False	False	False	False	False	False																			8cb61b
135	True	123.628	1	False	Male	38	bach	Completed	Yes	Yes	10 or more	True	True	False	True	False	False	True	False	False																			967b76
