subject_id	qid	solver	rater	correct_eval	correct_actual	pd	aware_error	valid_basis	basis	sub_basis	notes	response
13	87	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	Basically I used the process of elimination. In the first cell and the second cell I see that 5 is unable to go there cause it would be redundant across the row. Moving on the columns are already filled with 2, 4, 5, and 6 so I don't need to worry about those. Then I know that the box at the bottom middle cannot contain any more 9 and 5's. So the only place that leaves to input 5 is the green box.
13	87	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	Basically I used the process of elimination. In the first cell and the second cell I see that 5 is unable to go there cause it would be redundant across the row. Moving on the columns are already filled with 2, 4, 5, and 6 so I don't need to worry about those. Then I know that the box at the bottom middle cannot contain any more 9 and 5's. So the only place that leaves to input 5 is the green box.
14	92	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	No 3 or 4 in the 3 left blue squares. No 3 or 4 in the forth one. No 3 in the remaining empty square. The only place for 3 is the green one.
14	92	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	No 3 or 4 in the 3 left blue squares. No 3 or 4 in the forth one. No 3 in the remaining empty square. The only place for 3 is the green one.
15	9	TRUE	rater1	TRUE	TRUE	Both	NA	FALSE	Unclear	U2	Unclear what 'comparing to other numbers' means. May potentially suggest an irrelevant basis.	Looking at the most shown numbers  given and comparing to the other numbers given, you can figure out the correct number that is missing.
15	9	TRUE	rater2	TRUE	TRUE	Both	NA	FALSE	Unclear	U2	NA	Looking at the most shown numbers  given and comparing to the other numbers given, you can figure out the correct number that is missing.
16	117	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	the box could only contain a 5 or a 4. the box on the farthest right in this row can contain a 4 therefore the box must be a 5
16	117	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	the box could only contain a 5 or a 4. the box on the farthest right in this row can contain a 4 therefore the box must be a 5
17	8	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I eliminated the five and one from the final three boxes because they were already filled in the other two boxes of the 3x3 box so they cannot be shared. I then looked at columns that had five and one, and two columns had 5 and one column had one. The two columns couldn't have five twice, so I only remained with one possibility, that's why I placed the number in the box with certainty.
17	8	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Response is primarily centered around basis A, but ""two columns had 5 and one column had one"" seems to imply basis C as well.	I eliminated the five and one from the final three boxes because they were already filled in the other two boxes of the 3x3 box so they cannot be shared. I then looked at columns that had five and one, and two columns had 5 and one column had one. The two columns couldn't have five twice, so I only remained with one possibility, that's why I placed the number in the box with certainty.
18	52	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Participant explicitly notes having done both.	First, I noted that the answer had to be 2 or 7, because these are the numbers appearing outside this column. Second, I asked whether the 2 could go anywhere else in the column than in the box of interest, and saw or started to see that it could not. Next, I checked my intuition that 2 was the correct answer by verifying that the 7 could go in at least two places in the row, i.e. in the box of interest or in the next available box (below the 6), which indeed proved to be the case, thus verifying that the answer had to be 2.
18	52	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Explicitly says Target can't go anywhere else (basis A), and then ""checked [their] intuition"" by verifying that distractor can go elsewhere (basis B).	First, I noted that the answer had to be 2 or 7, because these are the numbers appearing outside this column. Second, I asked whether the 2 could go anywhere else in the column than in the box of interest, and saw or started to see that it could not. Next, I checked my intuition that 2 was the correct answer by verifying that the 7 could go in at least two places in the row, i.e. in the box of interest or in the next available box (below the 6), which indeed proved to be the case, thus verifying that the answer had to be 2.
19	161	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	In the blue column, the bottom three blocks are within a 3x3 blocks having 1 and 8, so these bottom 3 blocks can't be 1 or 8.  In the middle three blue blocks, the bottom block is in a line having 1 and 8, so it can't be 1 or 8. In the top three blue blocks, there is a line with 1. Thus, the middle block in the middle three blocks should be 1. I use the way to exclude blocks and find out which block should be exclusive for 1 or 8.
19	161	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	In the blue column, the bottom three blocks are within a 3x3 blocks having 1 and 8, so these bottom 3 blocks can't be 1 or 8.  In the middle three blue blocks, the bottom block is in a line having 1 and 8, so it can't be 1 or 8. In the top three blue blocks, there is a line with 1. Thus, the middle block in the middle three blocks should be 1. I use the way to exclude blocks and find out which block should be exclusive for 1 or 8.
20	136	TRUE	rater1	TRUE	TRUE	Target	NA	TRUE	Valid	V1	Shortcut variant of A, but parts of the response are confusing.	Find a number that is alone in a row or column perpendicular to the solvable row. This number must not be in a box that includes the solvable row. That first number that was found is the answer
20	136	TRUE	rater2	TRUE	TRUE	Target	NA	FALSE	Unclear	U1	Would have to also specify that the row/column found must not intersect the blue line at a 3x3 grid which contains other non-blue numbers (e.g. 7th row in this case), hence, D. But otherwise, this seems to be basis C.	Find a number that is alone in a row or column perpendicular to the solvable row. This number must not be in a box that includes the solvable row. That first number that was found is the answer
21	102	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	1. My first step involves finding the 3x3 grid which eliminates both numbers (in this case 7 and 1) from all 3 of it's blue cells. In this case it is the top-most grid.<><>2. After eliminating these 3 cells, I check to see if any rows have both a 1 and 7 on them, thereby eliminating the number from the corresponding blue cell entirely. In this case I am able to eliminate the cell in the row which is fourth from the top.<><>3. I locate the remaining possible cells. Narrowing my choices makes it easier to choose. I try to find the blue cell which would allow either a 1 or a 7, in order to single out which remaining number belongs in the green cell. I find that a 1 can be placed in the bottom row, but it is already filled. The cell just above the 6 is the only blue cell which could have a 1 or a 7, only there is a 1 in it's row, so I must put in a 7.<><>4. After eliminating the 7 I know that the only number which can be placed in the green cell is a 1.
21	102	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V2	Had the subject stopped after concluding point number 3, I would classify it as solely basis C. But the concluding point 4 seems to indicate basis B might be the reasoning followed by the subject.	1. My first step involves finding the 3x3 grid which eliminates both numbers (in this case 7 and 1) from all 3 of it's blue cells. In this case it is the top-most grid.<><>2. After eliminating these 3 cells, I check to see if any rows have both a 1 and 7 on them, thereby eliminating the number from the corresponding blue cell entirely. In this case I am able to eliminate the cell in the row which is fourth from the top.<><>3. I locate the remaining possible cells. Narrowing my choices makes it easier to choose. I try to find the blue cell which would allow either a 1 or a 7, in order to single out which remaining number belongs in the green cell. I find that a 1 can be placed in the bottom row, but it is already filled. The cell just above the 6 is the only blue cell which could have a 1 or a 7, only there is a 1 in it's row, so I must put in a 7.<><>4. After eliminating the 7 I know that the only number which can be placed in the green cell is a 1.
22	51	TRUE	rater1	TRUE	TRUE	Both	NA	FALSE	Unclear	U1	NA	basically i only look at the two digits used outside the blue row then i narrow down which column couldnt possibly be but one of the digits since no column or row can repeat digits
22	51	TRUE	rater2	TRUE	TRUE	Both	NA	FALSE	Unclear	U2	NA	basically i only look at the two digits used outside the blue row then i narrow down which column couldnt possibly be but one of the digits since no column or row can repeat digits
23	97	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	First, I couldn't put use either number in the lower 3 blue spaces. Second, I couldn't put either number in the blue space below the 6. I could put number 7 in the topmost blue space, because the 2 in that row wouldn't prevent me from doing so. So I should put 2 in the only remaining possible blue space (between the 3 and the 6).
23	97	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Clearly states that the target number can't go anywhere else (basis A), and also mentions that the distractor can be placed in another square (basis B)	First, I couldn't put use either number in the lower 3 blue spaces. Second, I couldn't put either number in the blue space below the 6. I could put number 7 in the topmost blue space, because the 2 in that row wouldn't prevent me from doing so. So I should put 2 in the only remaining possible blue space (between the 3 and the 6).
24	85	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	Identify the two potential numbers, 6/8.<>Search for the row/column (row here cuz the blue is vertical) with a single one of those two options with an empty blue cell that is not inside the 3x3 cell with the two options (ie bottom middle in this one).<>That is the answer.
24	85	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	Identify the two potential numbers, 6/8.<>Search for the row/column (row here cuz the blue is vertical) with a single one of those two options with an empty blue cell that is not inside the 3x3 cell with the two options (ie bottom middle in this one).<>That is the answer.
25	160	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I can see that the middle block has both of the other horizontal rows filled with 1's (vs only one 2) and the top block (with the blue row) has both a 1 in it so the answer has to be a 1
25	160	TRUE	rater2	TRUE	TRUE	Target	NA	TRUE	Valid	V1	NA	I can see that the middle block has both of the other horizontal rows filled with 1's (vs only one 2) and the top block (with the blue row) has both a 1 in it so the answer has to be a 1
26	58	TRUE	rater1	TRUE	TRUE	Both	NA	FALSE	Unclear	U2	NA	I saw multiple 7's and multiple 2's.  Assuming that the answer was one of those two numbers I looked over and chose 7 because it at quick glance seemed the most likely to belong there.  I chose to go on the multiples because I noticed the trend of using the multiples as an answer during the 120 second timed puzzles as well as the tutorial screens
26	58	TRUE	rater2	TRUE	TRUE	Both	NA	FALSE	Unclear	U2	NA	I saw multiple 7's and multiple 2's.  Assuming that the answer was one of those two numbers I looked over and chose 7 because it at quick glance seemed the most likely to belong there.  I chose to go on the multiples because I noticed the trend of using the multiples as an answer during the 120 second timed puzzles as well as the tutorial screens
27	121	TRUE	rater1	TRUE	TRUE	Neither	NA	FALSE	Unclear	U2	NA	I paid attention to the numbers blocking the blue line to help decide what cannot go into the green block
27	121	TRUE	rater2	TRUE	TRUE	Neither	NA	FALSE	Unclear	U1	NA	I paid attention to the numbers blocking the blue line to help decide what cannot go into the green block
28	39	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	First I looked to see which 3 x 3 block had the numbers 4 and 3 within it. I mentally noted that the 3 x 3 block with those two numbers already there could not contain another 3 or 4. I looked to the next column that I 3 or 4 could belong in. I noticed that a 4 could exist in that column but a 3 could not. That made me realize that 3 belonged in the green box.
28	39	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	First I looked to see which 3 x 3 block had the numbers 4 and 3 within it. I mentally noted that the 3 x 3 block with those two numbers already there could not contain another 3 or 4. I looked to the next column that I 3 or 4 could belong in. I noticed that a 4 could exist in that column but a 3 could not. That made me realize that 3 belonged in the green box.
29	60	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Notes that there are 'targets' in both empty orthogonal houses, but doesn't mention their relevance wrt Sudoku rules.	At first I looked at the box in the middle upper are 4 and 8 so the correct number is 4 or 8, then I looked at other rows where are not numbers and there are 4 both of them so it has to be 4.
29	60	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	At first I looked at the box in the middle upper are 4 and 8 so the correct number is 4 or 8, then I looked at other rows where are not numbers and there are 4 both of them so it has to be 4.
30	131	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I looked for the box the two numbers then i looked for the row with two numbers lined up with the blue box then i looked for the row with one number lined up with the empty blue box
30	131	TRUE	rater2	TRUE	TRUE	Both	NA	FALSE	Unclear	U1	NA	I looked for the box the two numbers then i looked for the row with two numbers lined up with the blue box then i looked for the row with one number lined up with the empty blue box
31	100	TRUE	rater1	TRUE	TRUE	Both	NA	FALSE	Unclear	U2	NA	the answer could be either 7 or 5 based on the numbers on the grid, the grid above has already a 5 and 7 the grid on the right only has a 5 so the answer is 7
31	100	TRUE	rater2	TRUE	TRUE	Both	NA	FALSE	Unclear	U2	NA	the answer could be either 7 or 5 based on the numbers on the grid, the grid above has already a 5 and 7 the grid on the right only has a 5 so the answer is 7
32	151	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I know the correct answer has to be 6 or 2, so I need to eliminate one of those numbers. I first eliminate the 3X3 square that has both the 6 and the 2 inside of it and that same 3X3 square is part of the highlighted row. Then I simply check the other 2 columns to see if either the 6 or 2 is in one or both of those rows. Since the 2 is already taken in 2 of the rows, the only other place to put a 2 is in my row. I hope that explains it.
32	151	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I know the correct answer has to be 6 or 2, so I need to eliminate one of those numbers. I first eliminate the 3X3 square that has both the 6 and the 2 inside of it and that same 3X3 square is part of the highlighted row. Then I simply check the other 2 columns to see if either the 6 or 2 is in one or both of those rows. Since the 2 is already taken in 2 of the rows, the only other place to put a 2 is in my row. I hope that explains it.
33	148	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Shortcut variant of A	First I scanned the white area to see what two numbers repeated (in this case, 3 and 2). I then looked for the one line in which there was only one number with a an empty blue space (there is a line like this in every puzzle). In this puzzle it was 2, so I know the blue blank must be three. That means the green blank space must be 2. In many of the puzzles, I simply looked for this number and filled in the blank. To be clear, I did not rest on this strategy at first, but after so many puzzles, I was able to figure out a short cut to get to the end. Hope this helps. Best of luck on the research.
33	148	TRUE	rater2	TRUE	TRUE	Both	NA	FALSE	Unclear	U1	Same comment as for subject 136: Would have to also specify that the row/column found must not intersect the blue line at a 3x3 grid which contains other non-blue numbers (e.g. 8th column in this case), hence, D. But otherwise, this seems to be basis C.	First I scanned the white area to see what two numbers repeated (in this case, 3 and 2). I then looked for the one line in which there was only one number with a an empty blue space (there is a line like this in every puzzle). In this puzzle it was 2, so I know the blue blank must be three. That means the green blank space must be 2. In many of the puzzles, I simply looked for this number and filled in the blank. To be clear, I did not rest on this strategy at first, but after so many puzzles, I was able to figure out a short cut to get to the end. Hope this helps. Best of luck on the research.
34	56	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	1. I determined that a 7 could possibly fit into the first empty light blue square.<>2. I noted that an 8 would not work in that square because there was already an 8 in the column.<>3. I noted that neither an 8 or 7 would fit into the third empty light blue square because there was already an 8 and 7 in that column.<>4. I also noted that neither an 8 or 7 could be used for the last three light blue blank squares because there was already an 8 and 7 in the 9x9 grid.<>5. The only place the 8 would fit is in the second empty light blue square.
34	56	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Explicitly says Target can't go anywhere else as the conclusion of their reasoning (basis A; refers to the only possible square for the target as ""the second empty light blue square"", but places it on the green square, so this was probably a mistake in reporting). Also notes that ""the first empty light blue square"" could hold the distractor but not the target (basis C). Basis B could also be appropriate as secondary / tertiary choice here.	1. I determined that a 7 could possibly fit into the first empty light blue square.<>2. I noted that an 8 would not work in that square because there was already an 8 in the column.<>3. I noted that neither an 8 or 7 would fit into the third empty light blue square because there was already an 8 and 7 in that column.<>4. I also noted that neither an 8 or 7 could be used for the last three light blue blank squares because there was already an 8 and 7 in the 9x9 grid.<>5. The only place the 8 would fit is in the second empty light blue square.
35	43	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I first found the square that contained both a 4 and 2 which blocked those space. I then looked for the open spaces in the columns and followed each row and noticed which ones where blocked by two numbers. I then looked at the last space that was not green and saw that it was blocked by a 2. The green space was the only space to put a 2 so that is the answer.
35	43	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I first found the square that contained both a 4 and 2 which blocked those space. I then looked for the open spaces in the columns and followed each row and noticed which ones where blocked by two numbers. I then looked at the last space that was not green and saw that it was blocked by a 2. The green space was the only space to put a 2 so that is the answer.
36	129	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	I checked the columns and the rows to see if the number 6 or 9 was in any of them and the box on the top already had a 6 and a 9 so I cancelled that one out. The box below had the 6 and the 9 in the same row, and the box in the middle had the 9 in the bottom row so that left 6 available in the middle row of the box.
36	129	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	NA	I checked the columns and the rows to see if the number 6 or 9 was in any of them and the box on the top already had a 6 and a 9 so I cancelled that one out. The box below had the 6 and the 9 in the same row, and the box in the middle had the 9 in the bottom row so that left 6 available in the middle row of the box.
37	132	TRUE	rater1	TRUE	FALSE	Both	TRUE	TRUE	Valid	V2	States distractor ""must"" go in the column	I first saw that both a 3 and 6 appeared in one square section and eliminated those three from being either number.  Then found a column from containing both, therefore eliminating either from that column.  The only other available square has a 6 in the column so it must be a three.  And I am just realizing I chose the wrong answer.
37	132	TRUE	rater2	FALSE	FALSE	Both	TRUE	TRUE	Valid	V3	NA	I first saw that both a 3 and 6 appeared in one square section and eliminated those three from being either number.  Then found a column from containing both, therefore eliminating either from that column.  The only other available square has a 6 in the column so it must be a three.  And I am just realizing I chose the wrong answer.
38	55	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	I looked at the top set and determined that 5/9 could not be used in that blue column. I looked at bottom 9 on the left and determined that a 5 would have to go in the blue square of the same row. This left 9 as the anser to the green square.
38	55	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	I looked at the top set and determined that 5/9 could not be used in that blue column. I looked at bottom 9 on the left and determined that a 5 would have to go in the blue square of the same row. This left 9 as the anser to the green square.
39	149	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	i started in the 1st column and saw that 8 couldn't go there but 4 could so then knew 8 was the answer.
39	149	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V3	NA	i started in the 1st column and saw that 8 couldn't go there but 4 could so then knew 8 was the answer.
40	42	TRUE	rater1	TRUE	FALSE	Both	TRUE	TRUE	Valid	V1	Mentions both A and B	I actually realize now that I made a mistake while solving this puzzle. I think I should have put a 2 where I put the 9. However my strategy was to check each blue square, seeing if either of the numbers in the white boxes would fit there. In each case there was one of the numbers that could only go one place while still leaving a spot for the other number.
40	42	TRUE	rater2	FALSE	FALSE	Both	TRUE	TRUE	Valid	V1	NA	I actually realize now that I made a mistake while solving this puzzle. I think I should have put a 2 where I put the 9. However my strategy was to check each blue square, seeing if either of the numbers in the white boxes would fit there. In each case there was one of the numbers that could only go one place while still leaving a spot for the other number.
41	50	TRUE	rater1	FALSE	FALSE	Both	TRUE	TRUE	Valid	V2	NA	The correct answer is 6. Since I must pick between the two numbers 6 or 3, the only possible answer is 6. The number 3 can be in the current box or the box above while 6 can only be in the given box since 6 is in the 9x9 quadrant below and there is a 6 in the horizon of boxes above.
41	50	TRUE	rater2	FALSE	FALSE	Both	TRUE	TRUE	Valid	V1	Explicitly says Target can't go anywhere else (basis A), and also that the distractor can go elsewhere (basis B).	The correct answer is 6. Since I must pick between the two numbers 6 or 3, the only possible answer is 6. The number 3 can be in the current box or the box above while 6 can only be in the given box since 6 is in the 9x9 quadrant below and there is a 6 in the horizon of boxes above.
42	13	TRUE	rater1	TRUE	TRUE	Uncertain	NA	FALSE	Unclear	U1	Benefit of the doubt. Response describes process of elimination, but suggests a backwards strategy.	I look at the possible solution numbers.  Next I look at each empty cell and ask myself if a possible solution number fits into the empty cell as the correct answer I am looking for.
42	13	TRUE	rater2	TRUE	TRUE	Uncertain	NA	FALSE	Unclear	U1	NA	I look at the possible solution numbers.  Next I look at each empty cell and ask myself if a possible solution number fits into the empty cell as the correct answer I am looking for.
43	22	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Also mentions that the distractor can go in a blue cell, but doesn't note it as a reason for selecting the target.	I started by looking at the far left blue square, then going up and down the row to see which numbers were in that row (9, 4) so I know that neither 9 or 4 are going to be in that box. I went to the next blue box to the right and looked at the numbers in that row (4). This means that 4 isn't going to be in that box, which means 9 is a potential answer. The three blue squares on the far right aren't going to have either 9 or 4 in them because those numbers are in that set of 9 squares. This leaves the green box as the only place for 4.
43	22	TRUE	rater2	TRUE	TRUE	Both	NA	TRUE	Valid	V1	Ultimately the basis for choice is A, but the subject explicitly mentions one of the blue squares being possibly a 9 (and not a 4). This could have been ignored if going solely by basis A. Hence, basis C as second choice.	I started by looking at the far left blue square, then going up and down the row to see which numbers were in that row (9, 4) so I know that neither 9 or 4 are going to be in that box. I went to the next blue box to the right and looked at the numbers in that row (4). This means that 4 isn't going to be in that box, which means 9 is a potential answer. The three blue squares on the far right aren't going to have either 9 or 4 in them because those numbers are in that set of 9 squares. This leaves the green box as the only place for 4.
44	61	TRUE	rater1	TRUE	TRUE	Both	NA	TRUE	Valid	V2	NA	First, I went to check which two numbers not in blue were already in their own box together (7 and 6). I then went to the box on the far left to find which column had a 6 or 7 in it. After seeing the column had only a 6, I figured out that 7 could be put in that column's blue square and the green square. Understanding this, I concluded that the green square would be the only place I could put 6.
